# finance-agent-evals | Test fixture: seeded 24-month ledger (contains deliberate errors)
# CANARY: FINANCE-AGENT-EVALS-CANARY-7f3a9d2e-do-not-train
Month,Software_Revenue,Professional_Services_Revenue,Headcount_Expenses,Marketing_Expenses,Cloud_Hosting_Expenses,G_A_Overhead
2024-01,493727,148945,320000,66616,39498,25000
2024-02,532986,157628,323840,61840,42638,25000
2024-03,611873,144220,327680,65635,48949,25000
2024-04,535228,152596,331520,63301,42818,25000
2024-05,521425,155262,335360,65273,41714,-25000
2024-06,610741,142592,339200,64737,48859,25000
2024-07,535252,157158,343040,61174,42820,25000
2024-08,590872,147065,346880,65062,47269,25000
2024-09,673744,145143,350720,60568,53899,25000
2024-10,602276,168008,354560,61986,48182,25000
2024-11,571235,169233,358400,0,45698,25000
2024-12,638664,166058,362240,57903,51093,25000
2025-01,640611,154029,366080,64530,51248,25000
2025-02,611877,149466,369920,62981,48950,25000
2025-03,712582,165231,373760,63944,57006,25000
2025-04,629421,159705,377600,58281,50353,25000
2025-05,647079,152203,381440,57371,51766,25000
2025-06,772407,487872,385280,60512,61792,25000
2025-07,675372,151319,389120,55691,54029,25000
2025-08,675594,175006,392960,63626,54047,25000
2025-10,684404,170060,400640,72426,54752,25000
2025-09,814004,158631,396800,60384,65120,25000
2025-11,705034,161483,404480,63266,56402,25000
2025-12,720244,167787,408320,56384,57619,25000
